K,Accuracy
1,0.7
2,0.6666666666666666
3,0.6666666666666666
4,0.6666666666666666
5,0.6333333333333333
6,0.6666666666666666
7,0.7333333333333333
8,0.6333333333333333
9,0.6666666666666666
10,0.7333333333333333
11,0.7666666666666667
12,0.7666666666666667
13,0.7
14,0.7
15,0.7
16,0.7
17,0.7333333333333333
18,0.7333333333333333
19,0.7666666666666667
20,0.7
